GEOID,NAME,uninsured_percent,X1,ST_Name,FIPS,ST_ID,dt,Confirmed,Deaths
01001,"Autauga County, Alabama",13.6430511543685,335064,Alabama,01001,1,2020/05/04,53,3
01003,"Baldwin County, Alabama",20.3144414439787,335065,Alabama,01003,1,2020/05/04,188,4
01005,"Barbour County, Alabama",23.7604825658379,335066,Alabama,01005,1,2020/05/04,45,1
01007,"Bibb County, Alabama",13.1501319670859,335067,Alabama,01007,1,2020/05/04,42,0
01009,"Blount County, Alabama",20.6991668543121,335068,Alabama,01009,1,2020/05/04,40,0
01011,"Bullock County, Alabama",21.3876319758673,335069,Alabama,01011,1,2020/05/04,16,0
01013,"Butler County, Alabama",20.9735380594577,335070,Alabama,01013,1,2020/05/04,114,1
01015,"Calhoun County, Alabama",18.3180345572354,335071,Alabama,01015,1,2020/05/04,105,3
01017,"Chambers County, Alabama",22.1999809360404,335072,Alabama,01017,1,2020/05/04,302,21
01019,"Cherokee County, Alabama",17.0215806774332,335073,Alabama,01019,1,2020/05/04,16,0
01021,"Chilton County, Alabama",28.6789003726359,335074,Alabama,01021,1,2020/05/04,58,1
01023,"Choctaw County, Alabama",22.5994990258837,335075,Alabama,01023,1,2020/05/04,51,0
01025,"Clarke County, Alabama",22.0949263502455,335076,Alabama,01025,1,2020/05/04,43,1
01027,"Clay County, Alabama",20.9576138147567,335077,Alabama,01027,1,2020/05/04,22,1
01029,"Cleburne County, Alabama",24.6629474662947,335078,Alabama,01029,1,2020/05/04,12,1
01031,"Coffee County, Alabama",19.780360927365,335079,Alabama,01031,1,2020/05/04,134,0
01033,"Colbert County, Alabama",14.5951833474525,335080,Alabama,01033,1,2020/05/04,41,2
01035,"Conecuh County, Alabama",29.570049722141,335081,Alabama,01035,1,2020/05/04,9,0
01037,"Coosa County, Alabama",17.0961002785515,335082,Alabama,01037,1,2020/05/04,30,1
01039,"Covington County, Alabama",22.1790620558977,335083,Alabama,01039,1,2020/05/04,45,1
01041,"Crenshaw County, Alabama",20.6387035271687,335084,Alabama,01041,1,2020/05/04,25,0
